"","Diptank","date","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"198","Masondo","354","2016-12-18","6078","6017.5","471980.038636364","6013","292138.059542469","6052","347497.290308205","6013.5","429814.20491603"
"199","Masondo","9","2017-01-01","6531","6545","420632.46461039","6484","399654.118805046","6550.5","388045.379819303","6558.5","495616.56334621"
"200","Masondo","25","2017-01-17","6667","6644.5","114987.198701299","6661.5","172025.716077026","6682.5","312742.991072969","6724","337991.543985654"
"201","Masondo","43","2017-02-02","6386","6431.5","209593.822077922","6424","242095.653381102","6444.5","317584.328733253","6460.5","409688.958662751"
"202","Masondo","64","2017-02-18","7476","7458.5","49824.8519480519","7393","131972.270021645","7383","213412.731811713","7376","437486.131275844"
"203","Masondo","71","2017-03-06","7360","7249.5","64214.7918831169","7222","94893.5423197492","7273","124610.539805072","7301","187249.606739488"
"204","Masondo","91","2017-03-22","6320","6950","169319.973701299","6963","197991.346768174","6998.5","247597.625539072","6993","333141.65336548"
"205","Masondo","107","2017-04-07","6416","6521","199158.493181818","6532.5","283261.039259591","6542","365596.532214939","6569.5","473739.911664508"
"206","Masondo","123","2017-04-23","6481","6483","212070.207792208","6455.5","290185.160602329","6492","336323.941776637","6497.5","490503.320296833"
"207","Masondo","137","2017-05-09","6495","6627","154417.522077922","6601","254771.097775787","6637","300425.335514778","6662","433871.285801874"
"208","Masondo","155","2017-05-25","6097","6251","185651.184090909","6261.5","271518.992312285","6337","309249.697052355","6440","469174.788071113"
"209","Masondo","162","2017-06-10","5680","5962.5","272186.937337662","6058.5","309723.428403493","6142.5","341003.452903082","6211.5","509082.522701604"
"210","Masondo","187","2017-06-26","5433","5521.5","166701.361038961","5553","313482.049484998","5648.5","429414.01943534","5694","651843.604901278"
"211","Masondo","203","2017-07-12","5019","5097","171190.206493506","5046.5","297303.529108822","5093.5","397480.417108706","5104","692231.050252855"
"212","Masondo","210","2017-07-28","4824","4875","157213.719155844","4813","306164.80502687","4854.5","424613.457866138","4900.5","763087.688086326"
"213","Masondo","235","2017-08-13","4595","4455","189145.526948052","4324","281872.940065681","4360","403940.537314559","4381.5","727854.044231133"
