"","Diptank","date","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"466","Namaneni","279","2016-09-29","1344","1266","35640.1344262295","1390","172237.9666642","1503","211812.716270447","1514","205391.402903204"
"467","Namaneni","290","2016-10-15","1355","1360","33408.493989071","1528","132526.073257363","1627","161990.368026172","1634","161773.27194474"
"468","Namaneni","311","2016-10-31","2134","2078","208824.527868852","2372","350915.011987568","2527","343476.551086877","2550","388652.512657426"
"469","Namaneni","334","2016-11-16","2930","2862","253332.016393443","3020","265940.871355631","3237","341901.061926572","3405","421923.799846248"
"470","Namaneni","339","2016-12-02","2689","2689","121271.383606557","2914","162104.626868433","3094","243183.012744457","3228","308554.849327334"
"471","Namaneni","354","2016-12-18","2653","2535","224720.327868852","2669","304137.683402397","2974","431236.754576518","3087","596992.206034775"
"472","Namaneni","9","2017-01-01","2711","2772","204999.672131148","2881","264159.043140447","3053","438069.990381679","3203","562499.476962037"
"473","Namaneni","20","2017-01-17","3709","3587","243081.354098361","3730","391975.623353559","3834","672753.721010542","3991","999083.537447713"
"474","Namaneni","43","2017-02-02","2940","2834","83386.3191256831","2951","223048.20167974","3074","328810.645038168","3221","434082.287200127"
"475","Namaneni","59","2017-02-18","4544","4321","842632.516393443","4401","488270.508287702","4293","501791.23214831","4363","610434.209141475"
"476","Namaneni","75","2017-03-06","4361","4087","293502.666666667","4211","415664.481352671","4253","456565.51826245","4335","527049.445610148"
"477","Namaneni","91","2017-03-22","3238","3320","278647.649180328","3445","348774.808309901","3413","391554.713573246","3444","407548.101198363"
"478","Namaneni","107","2017-04-07","2541","2656","80768.2158469945","2880","189566.122095605","2944","257821.142079244","2986","313566.296425261"
"479","Namaneni","123","2017-04-23","2536","2642","88423.7568306011","2763","172091.700606778","2886","246758.795950563","2918","267701.283274923"
"480","Namaneni","139","2017-05-09","2674","2732","117892.967759563","2794","151843.688952198","2829","206074.011086877","2854","261460.163119814"
"481","Namaneni","155","2017-05-25","2301","2324","75671.2464480874","2414","109893.607740121","2528","199374.824063977","2615","271252.244300993"
"482","Namaneni","171","2017-06-10","2018","2121","76180.0819672131","2226","138303.83417197","2298","182136.382791712","2309","206028.591482579"
"483","Namaneni","187","2017-06-26","1964","1955","56254.8174863388","2060","162920.784963741","2112","204775.462137405","2122","217832.272636625"
"484","Namaneni","203","2017-07-12","1791","1793","62205.5174863388","1936","150657.967552168","2011","209230.812417303","2008","208172.041580935"
"485","Namaneni","210","2017-07-28","1651","1724","47500.6568306011","1838","145679.767093385","1897","186530.266506725","1902","188956.802934859"
"486","Namaneni","235","2017-08-13","1720","1607","67808.5218579235","1769","148212.486717478","1832","194003.782275536","1824","201285.093047234"
"487","Namaneni","248","2017-08-29","2305","2305","69259.0885245902","2338","176546.129828326","2322","244656.452758997","2345","258644.66528365"
"488","Namaneni","272","2017-09-14","2208","1980","92634.7759562842","2032","95042.4789847566","2112","137051.791893857","2122","169066.937384403"
"489","Namaneni","281","2017-09-30","1934","2097","320420.416393443","2200","200233.3833432","2339","218983.087982552","2355","268341.935604947"
"490","Namaneni","290","2017-10-16","2034","2059","459421.815846995","2193","261552.026972029","2315","249845.125939658","2361","258662.501747801"
"491","Namaneni","306","2017-11-01","1710","1748","307247.742622951","1919","231959.468144147","2017","221703.16258088","2066","232049.068562191"
"492","Namaneni","324","2017-11-17","2005","2271","196630.450273224","2383","305147.958968477","2512","285174.459563795","2615","283851.375196147"
"493","Namaneni","351","2017-12-03","3817","3740","273240.217486339","3661","286511.161721178","3789","353744.857600872","3931","383210.538155425"
"494","Namaneni","365","2017-12-19","3793","3658","727948.083060109","4027","455513.825773272","4173","490589.081119593","4390","705006.734854275"
"495","Namaneni","5","2018-01-01","3594","3839","666408.144808743","3825","537297.429702531","3912","560455.85043257","4081","620362.897650756"
"496","Namaneni","19","2018-01-17","2278","2738","640922.353551913","2871","474785.929924523","2984","466219.760072701","3118","451618.381373369"
"497","Namaneni","46","2018-02-02","4555","4370","426878.570491803","4293","387651.895441764","4293","588496.688113413","4434","630225.396056707"
"498","Namaneni","55","2018-02-18","5006","4865","279988.693989071","4629","582960.152804499","4641","802524.144980007","4765","725320.465383137"
"499","Namaneni","78","2018-03-06","4008","4515","747980.893989071","4321","652428.862993932","4336","680806.337019266","4491","682350.803310195"
"500","Namaneni","94","2018-03-22","4634","4537","348029.605464481","4348","400658.836798875","4308","465212.699018539","4426","550819.570588102"
"501","Namaneni","103","2018-04-07","3932","4588","147183.804371585","4367","291322.528007992","4367","406169.654903671","4487","513501.476423904"
"502","Namaneni","117","2018-04-23","3105","3550","147632.21147541","3500","226479.69527897","3492","333592.989094875","3623","418984.885253352"
"503","Namaneni","142","2018-05-09","2971","3207","144578.472131148","3293","197450.213630309","3333","285359.392569975","3467","338366.00151039"
"504","Namaneni","158","2018-05-25","3746","3624","91437.5612021858","3626","122604.673745745","3658","187702.07653944","3741","243283.972487395"
"505","Namaneni","165","2018-06-10","3103","3499","107762.229508197","3486","113357.297284298","3494","175363.206637586","3600","227507.182714179"
"506","Namaneni","192","2018-06-26","2728","2986","129616.839344262","3038","151539.909242267","3129","214384.383584151","3218","251360.886759219"
"507","Namaneni","199","2018-07-12","2820","2711","219437.620218579","2758","178721.575440284","2814","235725.167575427","2907","283492.445895042"
"508","Namaneni","211","2018-07-28","2128","2263","148061.280874317","2313","107026.350155394","2387","140133.347706289","2479","192196.068779252"
"509","Namaneni","238","2018-08-13","2416","2195","208502.419125683","2239","128936.543769424","2334","154397.007575427","2379","190214.362479933"
"510","Namaneni","254","2018-08-29","2213","2343","254493.575956284","2362","185096.453529673","2431","208985.472351872","2511","236252.058473331"
"511","Namaneni","261","2018-09-14","2814","2831","210849.990163934","2804","142053.152952494","2851","162342.077477281","2892","194814.761659167"
"512","Namaneni","279","2018-09-30","3827","3672","485147.646448087","3580","263341.031855853","3661","258468.088789531","3730","360476.101973907"
"513","Namaneni","300","2018-10-16","2232","2566","743891.582513661","2621","347548.425410685","2724","265130.773376954","2799","317488.880075519"
"514","Namaneni","309","2018-11-01","3172","3195","513245.179781421","3172","232110.007547728","3241","197285.320610687","3295","247949.41773125"
"515","Namaneni","334","2018-11-17","2548","2727","734705.882513661","2875","390134.154136451","2936","352099.165089059","3069","441315.178644267"
"516","Namaneni","352","2018-12-03","2980","2808","452916.044808743","2955","333373.110848009","3119","410662.104601963","3297","486542.470570014"
"517","Namaneni","6","2018-12-19","2699","2699","224855.976502732","2769","224267.585133935","2835","358837.910272628","3006","397401.76298415"
"518","Namaneni","6","2019-01-01","2699","2699","224855.976502732","2769","224267.585133935","2879","461011.438953108","3136","800760.190668596"
"519","Namaneni","31","2019-01-17","3193","3279","308272.450819672","3064","252801.106815155","3058","322458.237499091","3192","393216.679220838"
"520","Namaneni","42","2019-02-02","2500","2981","390263.772131148","3133","449437.49556016","3340","556973.17739004","3522","575605.603219753"
"521","Namaneni","55","2019-02-18","4722","4757","126412.782513661","4725","442153.412683143","4523","632416.191799346","4449","582877.008922152"
"522","Namaneni","79","2019-03-06","4087","4335","303555.584153005","4202","357452.845678556","4314","462162.905365322","4335","491325.392947747"
"523","Namaneni","84","2019-03-22","3924","4083","59098.4836065574","4169","172980.230723694","4189","245506.545089059","4249","276630.650177493"
"524","Namaneni","97","2019-04-07","4440","4445","142027.701092896","4406","248394.527675004","4388","354527.528447837","4475","398052.689653379"
"525","Namaneni","120","2019-04-23","3778","3942","172156.971038251","3918","237928.675817671","3940","274916.463300618","4024","296904.29384765"
"526","Namaneni","136","2019-05-09","2913","3305","247146.150819672","3362","257711.595678556","3453","279942.114140313","3558","286327.035688606"
"527","Namaneni","145","2019-05-25","3287","3072","366944.754098361","3152","268166.910648217","3238","301376.096713922","3345","314437.539111855"
"528","Namaneni","168","2019-06-10","2320","2548","480864.466666667","2646","250513.676890632","2755","262079.120683388","2852","250111.932174916"
"529","Namaneni","177","2019-06-26","2628","2507","588465.549726776","2606","294969.915865029","2665","282368.518015267","2748","274048.223013092"
"530","Namaneni","193","2019-07-12","2254","2224","391370.183060109","2363","257477.313008732","2483","279387.90694293","2542","271083.810611165"
"531","Namaneni","209","2019-07-28","1860","2018","334318.169945355","2149","208934.736717478","2241","220324.881664849","2292","216112.44493409"
"532","Namaneni","234","2019-08-13","2015","1994","236351.261202186","2084","265316.368987716","2205","341949.327066521","2257","334202.414956927"
"533","Namaneni","255","2019-08-29","1676","1791","172881.096174863","1860","189081.05694095","1951","265864.562340967","1977","277851.834476677"
"534","Namaneni","271","2019-09-14","1645","1694","212023.152459016","1757","195780.062564748","1848","250920.940443475","1893","255742.474483913"
"535","Namaneni","287","2019-09-30","1890","1807","288002.695628415","1900","236058.384638153","1941","236515.015972374","1958","228886.718728379"
"536","Namaneni","291","2019-10-16","2723","2461","326364.290163934","2537","251448.908909279","2541","315484.765416212","2593","338241.222054401"
"537","Namaneni","307","2019-11-01","3396","3239","374892.729508197","3270","265284.708006512","3392","338121.491981098","3523","359448.616202772"
"538","Namaneni","333","2019-11-17","3449","3500","708931.512568306","3504","464389.607333136","3621","476730.337935296","3862","482753.204307324"
"539","Namaneni","337","2019-12-03","3370","4160","459688.409289617","4072","398858.15332248","4111","512726.388164304","4318","552263.80766274"
"540","Namaneni","360","2019-12-19","3010","3020","763947.58579235","3123","412377.27582507","3272","452276.967371865","3454","532503.25729984"
"541","Namaneni","6","2020-01-01","2947","3199","732269.069945355","3295","423682.881012284","3451","569998.240290803","3606","695354.68114048"
"542","Namaneni","29","2020-01-17","2877","2652","448298.880874317","2848","343078.13556312","3118","487686.050759724","3329","551260.669450788"
"543","Namaneni","45","2020-02-02","3178","3133","169867.298907104","3325","303898.852079325","3550","447225.844107597","3793","525270.388599724"
"544","Namaneni","57","2020-02-18","2432","2610","208411.396174863","2696","165821.779894924","2870","231721.089400218","2999","312397.103567956"
"545","Namaneni","68","2020-03-05","2635","2782","109178.83715847","2885","199558.185363327","3016","318472.8921992","3183","376455.172878558"
