"","Diptank","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"195","Madlakude","2016-08-12","14981","14981",NA,"14981",NA,"14981",NA,"14994.5","364.5"
"196","Madlakude","2016-08-20","15014","15014",NA,"15014",NA,"15014",NA,"15026.5","312.5"
"197","Madlakude","2016-08-28","15230","15230",NA,"15230",NA,"15230",NA,"15228","8"
"198","Madlakude","2016-09-05","15205","15205",NA,"15205",NA,"15205",NA,"15209.5","40.5"
"199","Madlakude","2016-09-13","14995","14995",NA,"14995",NA,"14995",NA,"15041.5","4324.5"
"200","Madlakude","2016-09-21","15211","15211",NA,"15211",NA,"15211",NA,"15210","2"
"201","Madlakude","2016-09-29","15120","15120",NA,"15120",NA,"15120",NA,"15138.5","684.5"
"202","Madlakude","2016-10-07","15121","15121",NA,"15121",NA,"15121",NA,"15101","800"
"203","Madlakude","2016-10-15","15419","15419",NA,"15419",NA,"15419",NA,"15412.5","84.5"
"204","Madlakude","2016-10-23","15190","15190",NA,"15190",NA,"15190",NA,"15109","13122"
"205","Madlakude","2016-10-31","15454","15454",NA,"15454",NA,"15454",NA,"15449","50"
"206","Madlakude","2016-11-08","15218","15218",NA,"15218",NA,"15218",NA,"15227.5","180.5"
"207","Madlakude","2016-11-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Madlakude","2016-11-24","15370","15370",NA,"15370",NA,"15370",NA,"15376.5","84.5"
"209","Madlakude","2016-12-02","15254","15254",NA,"15254",NA,"15254",NA,"15244","200"
"210","Madlakude","2016-12-10","15207","15207",NA,"15207",NA,"15207",NA,"15217.5","220.5"
"211","Madlakude","2016-12-18","15582","15582",NA,"15582",NA,"15582",NA,"15598","512"
"212","Madlakude","2016-12-26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Madlakude","2017-01-01","15216","15216",NA,"15216",NA,"15216",NA,"15225","162"
"214","Madlakude","2017-01-09","15185","15185",NA,"15185",NA,"15185",NA,"15202","578"
"215","Madlakude","2017-01-17","15213","15213",NA,"15213",NA,"15213",NA,"15242","1682"
"216","Madlakude","2017-01-25","15252","15252",NA,"15252",NA,"15252",NA,"15241","242"
"217","Madlakude","2017-02-02","15230","15230",NA,"15230",NA,"15230",NA,"15230.5","0.5"
"218","Madlakude","2017-02-10","15354","15354",NA,"15354",NA,"15354",NA,"15371.5","612.5"
"219","Madlakude","2017-02-18","15261","15261",NA,"15261",NA,"15261",NA,"15174","15138"
"220","Madlakude","2017-02-26","15071","15071",NA,"15071",NA,"15071",NA,"15086","450"
"221","Madlakude","2017-03-06","15039","15039",NA,"15039",NA,"15039",NA,"15057","648"
"222","Madlakude","2017-03-14","15036","15036",NA,"15036",NA,"15036",NA,"15039.5","24.5"
